FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3050,Solid Waste Collection,4026,Recycling & Compost Collection,2 0,8,7184,Pool Motor Truck Driver,Hourly,19,1,33.85,1337752.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3050,Solid Waste Collection,4026,Recycling & Compost Collection,2 0,8,7183,Motor Truck Driver,Hourly,2,1,34.36,142938.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3050,Solid Waste Collection,4026,Recycling & Compost Collection,2 0,8,7183,Motor Truck Driver,Hourly,4,1,33.85,281632.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3050,Solid Waste Collection,4026,Recycling & Compost Collection,3 0,54,6324,Sanitation Laborer,Hourly,1,1,26.23,54558.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3050,Solid Waste Collection,4026,Recycling & Compost Collection,3 0,54,6324,Sanitation Laborer,Hourly,25,1,32.79,1705080.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3050,Solid Waste Collection,4026,Recycling & Compost Collection,BX 17,10,3092,Program Director,Annual,1,1,93024.00,93024.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3050,Solid Waste Collection,4026,Recycling & Compost Collection,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,0.00,0.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3050,Solid Waste Collection,4026,Recycling & Compost Collection,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,28620.00,28620.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1015,2020,BUREAU OF SANITATION,3051,Street Sweeping Divisions and Wards,0,,3 0,20,8184,General Superintendent,Annual,1,1,110880.00,110880.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1015,2020,BUREAU OF SANITATION,3051,Street Sweeping Divisions and Wards,0,,2 0,8,7185,Foreman of Motor Truck Drivers,Hourly,5,1,35.71,371384.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1015,2020,BUREAU OF SANITATION,3051,Street Sweeping Divisions and Wards,0,,2 0,8,7184,Pool Motor Truck Driver,Hourly,9,1,33.85,633672.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1015,2020,BUREAU OF SANITATION,3051,Street Sweeping Divisions and Wards,0,,2 0,8,7183,Motor Truck Driver,Hourly,15,1,34.36,1072032.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1015,2020,BUREAU OF SANITATION,3051,Street Sweeping Divisions and Wards,0,,2 0,8,7183,Motor Truck Driver,Hourly,36,1,33.85,2534688.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1015,2020,BUREAU OF SANITATION,3051,Street Sweeping Divisions and Wards,0,,3 0,54,6322,Hand Laborer,Hourly,0,0,19.68,1505520.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1015,2020,BUREAU OF SANITATION,3051,Street Sweeping Divisions and Wards,0,,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,74895.00,74895.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3058,Solid Waste Disposal,4032,Supervisory and Clerical,3 0,54,9495,Weighmaster,Annual,1,1,65894.00,65894.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3058,Solid Waste Disposal,4032,Supervisory and Clerical,B 12,1,303,Administrative Assistant III,Annual,1,1,66492.00,66492.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3401,MTD Allocation,0,,2 0,8,,Pool Motor Truck Driver,Hourly,0,0,0.00,0.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3401,MTD Allocation,0,,2 0,8,,Pool Motor Truck Driver,Hourly,0,0,30.47,1491811.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3401,MTD Allocation,0,,2 0,8,7184,Pool Motor Truck Driver,Hourly,67,1,33.85,4717336.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3401,MTD Allocation,0,,2 0,8,7183,Motor Truck Driver,Hourly,1,1,34.44,71635.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3401,MTD Allocation,0,,2 0,8,7183,Motor Truck Driver,Hourly,19,1,34.36,1357907.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3401,MTD Allocation,0,,2 0,8,7183,Motor Truck Driver,Hourly,295,1,33.85,20770360.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1015,2020,BUREAU OF SANITATION,3401,MTD Allocation,0,,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,469807.00,469807.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4170,Administration and General Support,1 0,9,9679,Deputy Commissioner,Annual,1,1,125316.00,125316.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4170,Administration and General Support,BX 15,20,1302,Administrative Services Officer II,Annual,1,1,88812.00,88812.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4170,Administration and General Support,B 8,1,430,Clerk III,Annual,1,1,48048.00,48048.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4170,Administration and General Support,BX 12,20,323,Administrative Assistant III - Excluded,Annual,1,1,55044.00,55044.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4170,Administration and General Support,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,80916.00,80916.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4170,Administration and General Support,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,326.00,326.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4171,Code Enforcement,BX 15,10,2383,Supervising Sanitarian,Annual,1,1,63516.00,63516.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4171,Code Enforcement,B 13,3,2381,Sanitarian II,Annual,1,1,66492.00,66492.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4171,Code Enforcement,B 13,3,2381,Sanitarian II,Annual,1,1,69648.00,69648.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4171,Code Enforcement,B 13,3,2381,Sanitarian II,Annual,1,1,76428.00,76428.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4171,Code Enforcement,B 13,3,2381,Sanitarian II,Annual,3,1,63456.00,190368.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3071,Administration,4171,Code Enforcement,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,1999.00,1999.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3072,Vector Control,4173,Vector Services,3 0,54,,Sanitation Laborer,Hourly,0,0,26.23,267546.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3072,Vector Control,4173,Vector Services,2 0,8,7184,Pool Motor Truck Driver,Hourly,0,0,27.08,331459.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3072,Vector Control,4173,Vector Services,3 0,54,6324,Sanitation Laborer,Hourly,11,1,32.79,750235.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3072,Vector Control,4173,Vector Services,3 0,9,313,Assistant Commissioner,Annual,1,1,100596.00,100596.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3072,Vector Control,4173,Vector Services,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,0.00,0.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3072,Vector Control,4173,Vector Services,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,5383.00,5383.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3072,Vector Control,4174,Containerization,2 0,8,7184,Pool Motor Truck Driver,Hourly,1,1,33.85,70408.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3072,Vector Control,4174,Containerization,2 0,8,7183,Motor Truck Driver,Hourly,4,1,33.85,281632.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3072,Vector Control,4174,Containerization,3 0,54,6324,Sanitation Laborer,Hourly,11,1,32.79,750235.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3072,Vector Control,4174,Containerization,B 12,1,303,Administrative Assistant III,Annual,1,1,66492.00,66492.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3072,Vector Control,4174,Containerization,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,5717.00,5717.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3074,Dead Animal Recovery,0,,2 0,8,7183,Motor Truck Driver,Hourly,1,1,34.36,71469.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3074,Dead Animal Recovery,0,,3 0,54,6324,Sanitation Laborer,Hourly,1,1,32.79,68203.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3074,Dead Animal Recovery,0,,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,1161.00,1161.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3402,MTD Allocation,0,,2 0,8,7183,Motor Truck Driver,Hourly,1,1,34.36,71469.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3402,MTD Allocation,0,,2 0,8,7183,Motor Truck Driver,Hourly,24,1,33.85,1689792.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1020,2025,BUREAU OF RODENT CONTROL,3402,MTD Allocation,0,,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,28603.00,28603.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3301,Administration,4300,Administrative Support,B 9,1,665,Senior Data Entry Operator,Annual,1,1,55212.00,55212.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3301,Administration,4300,Administrative Support,BX 15,20,305,Assistant to the Director,Annual,1,1,73752.00,73752.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3301,Administration,4300,Administrative Support,B 12,1,303,Administrative Assistant III,Annual,1,1,63456.00,63456.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3301,Administration,4300,Administrative Support,B 11,1,190,Accounting Technician II,Annual,1,1,69648.00,69648.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3301,Administration,4300,Administrative Support,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,1794.00,1794.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3320,Equipment Support Services,0,,2 0,42,,Hoisting Engineer,Hourly,0,0,0.00,0.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3320,Equipment Support Services,0,,2 0,42,7635,Foreman of Hoisting Engineers,Hourly,3,1,49.10,306384.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3320,Equipment Support Services,0,,2 0,42,7633,Hoisting Engineer,Hourly,26,1,45.10,2439008.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3320,Equipment Support Services,0,,2 0,8,7183,Motor Truck Driver,Hourly,1,1,33.85,70408.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3320,Equipment Support Services,0,,2 0,8,7183,Motor Truck Driver,Hourly,1,1,34.36,71469.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3320,Equipment Support Services,0,,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,43046.00,43046.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4324,Vacant Lot Cleaning,V 17,54,8190,Supervisor of Lot Cleaning Services,Annual,1,1,110748.00,110748.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4324,Vacant Lot Cleaning,V 17,54,8190,Supervisor of Lot Cleaning Services,Annual,3,1,75660.00,226980.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4324,Vacant Lot Cleaning,2 0,8,7183,Motor Truck Driver,Hourly,1,1,34.36,71469.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4324,Vacant Lot Cleaning,2 0,8,7183,Motor Truck Driver,Hourly,9,1,33.85,633672.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4324,Vacant Lot Cleaning,3 0,54,6324,Sanitation Laborer,Hourly,1,1,33.74,70179.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4324,Vacant Lot Cleaning,3 0,54,6324,Sanitation Laborer,Hourly,2,1,32.79,136406.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4324,Vacant Lot Cleaning,B 10,1,302,Administrative Assistant II,Annual,1,1,60600.00,60600.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4324,Vacant Lot Cleaning,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,0.00,0.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4324,Vacant Lot Cleaning,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,11452.00,11452.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4326,Program Support,2 0,8,7183,Motor Truck Driver,Hourly,1,1,34.36,71469.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4326,Program Support,2 0,8,7183,Motor Truck Driver,Hourly,3,1,33.85,211224.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4326,Program Support,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,4591.00,4591.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4327,Special Events,2 0,8,7183,Motor Truck Driver,Hourly,1,1,33.85,70408.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4327,Special Events,3 0,54,6324,Sanitation Laborer,Hourly,3,1,32.79,204610.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4327,Special Events,BX 15,10,320,Assistant to the Commissioner,Annual,1,1,80916.00,80916.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4327,Special Events,BX 17,10,304,Assistant to Commissioner,Annual,1,1,93024.00,93024.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4327,Special Events,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,0.00,0.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4327,Special Events,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,1143.00,1143.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4328,Neighborhood Commercial Strip Cleaning,3 0,54,6324,Sanitation Laborer,Hourly,1,1,34.79,72363.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4328,Neighborhood Commercial Strip Cleaning,3 0,54,6324,Sanitation Laborer,Hourly,0,0,32.79,66892.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4328,Neighborhood Commercial Strip Cleaning,3 0,54,6324,Sanitation Laborer,Hourly,0,0,22.95,2200446.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3325,Field Operations,4329,Inspections and Surveys,3 0,9,311,Projects Administrator,Annual,1,1,80904.00,80904.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4340,Graffiti Removal,2 0,42,,Hoisting Engineer,Hourly,0,0,45.10,513689.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4340,Graffiti Removal,V 17,54,8164,District Supervisor - Graffiti Removal Services,Annual,1,1,116028.00,116028.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4340,Graffiti Removal,V 17,54,8164,District Supervisor - Graffiti Removal Services,Annual,4,1,75660.00,302640.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4340,Graffiti Removal,2 0,42,7633,Hoisting Engineer,Hourly,5,1,45.10,469040.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4340,Graffiti Removal,3 0,54,6324,Sanitation Laborer,Hourly,4,1,34.79,289453.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4340,Graffiti Removal,3 0,54,6324,Sanitation Laborer,Hourly,9,1,32.79,613829.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4340,Graffiti Removal,BX 17,10,3092,Program Director,Annual,1,1,93024.00,93024.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4340,Graffiti Removal,BX 13,20,308,Staff Assistant,Annual,2,1,64152.00,128304.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4340,Graffiti Removal,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,0.00,0.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4340,Graffiti Removal,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,14584.00,14584.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4341,Graffiti Painting,2 0,39,,Painter,Hourly,0,0,0.00,0.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4341,Graffiti Painting,3 0,54,6324,Sanitation Laborer,Hourly,9,1,32.79,613829.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3335,Graffiti Blasters Program,4341,Graffiti Painting,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,0.00,0.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3371,Street Maintenance,0,,2 0,8,,Motor Truck Driver,Hourly,0,0,33.85,69054.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3371,Street Maintenance,0,,2 0,8,7184,Pool Motor Truck Driver,Hourly,1,1,33.85,70408.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3371,Street Maintenance,0,,2 0,8,7184,Pool Motor Truck Driver,Hourly,0,0,27.08,1252179.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3371,Street Maintenance,0,,2 0,8,7183,Motor Truck Driver,Hourly,2,1,33.85,140816.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3371,Street Maintenance,0,,2 0,8,7183,Motor Truck Driver,Hourly,4,1,34.36,285875.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3371,Street Maintenance,0,,2 0,8,7182,Motor Truck Driver - Hourly Agreement 2 Hours,Hourly,0,0,0.00,0.00
LOCAL,81,DEPT STREETS AND SANITATION,300,VEHICLE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3371,Street Maintenance,0,,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,29529.00,29529.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3390,Field Operations,0,,3 0,54,,Sanitation Laborer,Hourly,0,0,22.95,936360.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3390,Field Operations,0,,2 0,54,8244,Foreman of Laborers,Hourly,5,1,36.10,375440.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3390,Field Operations,0,,BX 17,10,8185,Assistant General Superintendent,Annual,1,1,84780.00,84780.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3390,Field Operations,0,,3 0,20,8175,Division Superintendent,Annual,1,1,113448.00,113448.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3390,Field Operations,0,,2 0,8,7185,Foreman of Motor Truck Drivers,Hourly,3,1,35.71,222830.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3390,Field Operations,0,,2 0,8,7183,Motor Truck Driver,Hourly,2,1,34.36,142938.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3390,Field Operations,0,,2 0,8,7183,Motor Truck Driver,Hourly,11,1,33.85,774488.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3390,Field Operations,0,,V 14,54,7152,Refuse Collection Coordinator,Annual,1,1,91980.00,91980.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3390,Field Operations,0,,3 0,54,6324,Sanitation Laborer,Hourly,1,1,22.95,47736.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3390,Field Operations,0,,3 0,54,6324,Sanitation Laborer,Hourly,1,1,33.74,70179.00
LOCAL,81,DEPT STREETS AND SANITATION,100,CORPORATE FUND,1030,2045,BUREAU OF STREET OPERATIONS,3390,Field Operations,0,,3 0,54,6324,Sanitation Laborer,Hourly,46,1,32.79,3137347.00
